STNAM,FIPST,LEAID,LEANM,NCESSCH,SCHNAM,ALL_RATE_1516.1,DATE_CUR
ALABAMA,1,100630,Cherokee County,10063000274,Cedar Bluff High Sch,90,7/1/2017
ALABAMA,1,100630,Cherokee County,10063000278,Cherokee Co High Sch,90,7/1/2017
ALABAMA,1,100630,Cherokee County,10063000279,Gaylesville High Sch,80,7/1/2017
ALABAMA,1,100630,Cherokee County,10063000282,Sand Rock High Sch,95,7/1/2017
ALABAMA,1,100630,Cherokee County,10063000283,Spring Garden High Sch,90,7/1/2017
ALABAMA,1,100660,Chilton County,10066000261,Isabella High Sch,80,7/1/2017
ALABAMA,1,100660,Chilton County,10066000262,Jemison High Sch,80,7/1/2017
ALABAMA,1,100660,Chilton County,10066000265,Maplesville High Sch,90,7/1/2017
ALABAMA,1,100660,Chilton County,10066000270,Thorsby High Sch,85,7/1/2017
ALABAMA,1,100660,Chilton County,10066000288,Verbena High Sch,80,7/1/2017
ALABAMA,1,100660,Chilton County,10066001491,Chilton Co High Sch,81,7/1/2017
ALABAMA,1,100690,Choctaw County,10069000291,Choctaw Co High Sch,70,7/1/2017
ALABAMA,1,100690,Choctaw County,10069000297,Southern Choctaw High Sch,75,7/1/2017
ALABAMA,1,100720,Clarke County,10072000298,Clarke Co High Sch,85,7/1/2017
ALABAMA,1,100720,Clarke County,10072001493,Jackson High Sch,85,7/1/2017
ALABAMA,1,100750,Clay County,10075002210,Future Clay Co High Sch,85,7/1/2017
ALABAMA,1,100780,Cleburne County,10078000318,Cleburne Co High Sch,90,7/1/2017
ALABAMA,1,100780,Cleburne County,10078000321,Ranburne High Sch,90,7/1/2017
ALABAMA,1,100810,Coffee County,10081000323,Kinston Sch,90,7/1/2017
ALABAMA,1,100810,Coffee County,10081000327,Zion Chapel High Sch,90,7/1/2017
ALABAMA,1,100810,Coffee County,10081001494,New Brockton High Sch,90,7/1/2017
ALABAMA,1,100840,Colbert County,10084000333,Cherokee High Sch,90,7/1/2017
ALABAMA,1,100840,Colbert County,10084000334,Colbert Co High Sch,80,7/1/2017
ALABAMA,1,100840,Colbert County,10084000335,Colbert Heights High Sch,85,7/1/2017
ALABAMA,1,100870,Conecuh County,10087001766,Hillcrest High Sch,75,7/1/2017
ALABAMA,1,100900,Coosa County,10090001749,Central High Sch,80,7/1/2017
ALABAMA,1,100930,Covington County,10093000360,Florala High Sch,80,7/1/2017
ALABAMA,1,100930,Covington County,10093000361,Pleasant Home Sch,80,7/1/2017
ALABAMA,1,100930,Covington County,10093000362,Red Level High Sch,90,7/1/2017
ALABAMA,1,100930,Covington County,10093000363,Straughn High Sch,95,7/1/2017
ALABAMA,1,100960,Crenshaw County,10096000365,Brantley High Sch,80,7/1/2017
ALABAMA,1,100960,Crenshaw County,10096000367,Highland Home High Sch,90,7/1/2017
ALABAMA,1,100960,Crenshaw County,10096000368,Luverne High Sch,90,7/1/2017
ALABAMA,1,100990,Cullman City,10099000370,Cullman High Sch,93,7/1/2017
ALABAMA,1,101020,Cullman County,10102000374,Cold Springs High Sch,90,7/1/2017
ALABAMA,1,101020,Cullman County,10102000377,Fairview High Sch,80,7/1/2017
ALABAMA,1,101020,Cullman County,10102000379,Good Hope High Sch,85,7/1/2017
ALABAMA,1,101020,Cullman County,10102000380,Hanceville High Sch,85,7/1/2017
ALABAMA,1,101020,Cullman County,10102000381,Holly Pond High Sch,85,7/1/2017
ALABAMA,1,101020,Cullman County,10102000385,Vinemont High Sch,80,7/1/2017
ALABAMA,1,101020,Cullman County,10102000387,West Point High Sch,90,7/1/2017
ALABAMA,1,101020,Cullman County,10102001497,Cullman Child Dev Ctr,87,7/1/2017
ALABAMA,1,101050,Dale County,10105000388,Ariton Sch,90,7/1/2017
ALABAMA,1,101050,Dale County,10105000389,Dale Co High Sch,75,7/1/2017
ALABAMA,1,101050,Dale County,10105000390,George W Long High Sch,90,7/1/2017
ALABAMA,1,101080,Daleville City,10108000394,Daleville High Sch,85,7/1/2017
ALABAMA,1,101110,Dallas County,10111000397,Dallas Co High Sch,85,7/1/2017
ALABAMA,1,101110,Dallas County,10111000402,Keith Middle-High Sch,90,7/1/2017
ALABAMA,1,101110,Dallas County,10111000406,Southside High Sch,90,7/1/2017
ALABAMA,1,101140,Dekalb County,10114000411,Collinsville High Sch,75,7/1/2017
ALABAMA,1,101140,Dekalb County,10114000415,Fyffe High Sch,90,7/1/2017
ALABAMA,1,101140,Dekalb County,10114000416,Geraldine Sch,90,7/1/2017
ALABAMA,1,101140,Dekalb County,10114000419,Ider Sch,85,7/1/2017
ALABAMA,1,101140,Dekalb County,10114000422,Plainview Sch,95,7/1/2017
ALABAMA,1,101140,Dekalb County,10114000424,Sylvania Sch,85,7/1/2017
ALABAMA,1,101140,Dekalb County,10114000425,Valley Head High Sch,90,7/1/2017
ALABAMA,1,101140,Dekalb County,10114001860,Crossville High Sch,80,7/1/2017
ALABAMA,1,101140,Dekalb County,10114002357,South Dekalb Primary School,87,7/1/2017
ALABAMA,1,101170,Decatur City,10117000426,Austin High Sch,90,7/1/2017
ALABAMA,1,101170,Decatur City,10117000429,Decatur High Sch,88,7/1/2017
ALABAMA,1,101170,Decatur City,10117002175,Decatur High Dev,50,7/1/2017
ALABAMA,1,101200,Demopolis City,10120000148,Demopolis High Sch,90,7/1/2017
ALABAMA,1,101230,Dothan City,10123000445,Dothan High Sch,90,7/1/2017
ALABAMA,1,101230,Dothan City,10123001501,Northview High Sch,88,7/1/2017
ALABAMA,1,101260,Elba City,10126000461,Elba High Sch,95,7/1/2017
ALABAMA,1,101290,Elmore County,10129000463,Elmore Co High Sch,90,7/1/2017
ALABAMA,1,101290,Elmore County,10129000465,Holtville High Sch,75,7/1/2017
ALABAMA,1,101290,Elmore County,10129000468,Stanhope Elmore High Sch,87,7/1/2017
ALABAMA,1,101290,Elmore County,10129000471,Wetumpka High Sch,88,7/1/2017
ALABAMA,1,101320,Enterprise City,10132000475,Dauphin Jr High Sch,87,7/1/2017
ALABAMA,1,101320,Enterprise City,10132000476,Enterprise High Sch,95,7/1/2017
ALABAMA,1,101350,Escambia County,10135000484,Escambia Co High Sch,80,7/1/2017
ALABAMA,1,101350,Escambia County,10135000487,Flomaton High Sch,80,7/1/2017
ALABAMA,1,101350,Escambia County,10135000492,W S Neal High Sch,80,7/1/2017
ALABAMA,1,101380,Etowah County,10138000496,Gaston High Sch,95,7/1/2017
ALABAMA,1,101380,Etowah County,10138000498,Glencoe High Sch,85,7/1/2017
ALABAMA,1,101380,Etowah County,10138000505,Sardis High Sch,90,7/1/2017
ALABAMA,1,101380,Etowah County,10138000506,Southside High Sch,91,7/1/2017
ALABAMA,1,101380,Etowah County,10138000507,West End High Sch,85,7/1/2017
ALABAMA,1,101380,Etowah County,10138001662,Hokes Bluff High Sch,95,7/1/2017
ALABAMA,1,101410,Eufaula City,10141000511,Eufaula High Sch,84,7/1/2017
ALABAMA,1,101440,Fairfield City,10144000516,Fairfield High Preparatory Sch,80,7/1/2017
ALABAMA,1,101470,Fayette County,10147000521,Berry High Sch,80,7/1/2017
ALABAMA,1,101470,Fayette County,10147000525,Hubbertville Sch,80,7/1/2017
ALABAMA,1,101470,Fayette County,10147001787,Fayette Co High Sch,85,7/1/2017
ALABAMA,1,101530,Florence City,10153000528,Florence High Sch,94,7/1/2017
ALABAMA,1,101530,Florence City,10153000531,Florence Freshman Ctr,87,7/1/2017
ALABAMA,1,101560,Fort Payne City,10156000538,Fort Payne High Sch,98,7/1/2017
ALABAMA,1,101590,Franklin County,10159000541,Belgreen High Sch,80,7/1/2017
ALABAMA,1,101590,Franklin County,10159000542,East Franklin Jr High Sch,87,7/1/2017
ALABAMA,1,101590,Franklin County,10159000544,Phil Campbell High Sch,85,7/1/2017
ALABAMA,1,101590,Franklin County,10159000545,Red Bay High Sch,90,7/1/2017
ALABAMA,1,101590,Franklin County,10159000548,Vina High Sch,80,7/1/2017
ALABAMA,1,101590,Franklin County,10159001869,Tharptown High Sch,80,7/1/2017
ALABAMA,1,101620,Gadsden City,10162001368,C I T Y Prog,50,7/1/2017
ALABAMA,1,101620,Gadsden City,10162001824,Gadsden City High Sch,82,7/1/2017
ALABAMA,1,101640,Geneva City,10164000567,Geneva High Sch,90,7/1/2017
ALABAMA,1,101660,Geneva County,10166000570,Geneva Co High Sch,80,7/1/2017
ALABAMA,1,101660,Geneva County,10166000571,Samson High Sch,90,7/1/2017
ALABAMA,1,101660,Geneva County,10166001519,Slocomb High Sch,90,7/1/2017
ALABAMA,1,101680,Greene County,10168000576,Greene Co High Sch,80,7/1/2017
ALABAMA,1,101690,Guntersville City,10169000582,Guntersville High Sch,90,7/1/2017
ALABAMA,1,101710,Hale County,10171000588,Hale Co High Sch,85,7/1/2017
ALABAMA,1,101710,Hale County,10171002162,Greensboro High Sch,90,7/1/2017
ALABAMA,1,101720,Haleyville City,10172000594,Haleyville High Sch,85,7/1/2017
ALABAMA,1,101730,Hartselle City,10173000599,Hartselle High Sch,93,7/1/2017
ALABAMA,1,101740,Henry County,10174000600,Abbeville High Sch,85,7/1/2017
ALABAMA,1,101740,Henry County,10174000604,Headland High Sch,95,7/1/2017
ALABAMA,1,101740,Henry County,10174000605,Headland Middle Sch,87,7/1/2017
ALABAMA,1,101760,Homewood City,10176000608,Homewood High Sch,93,7/1/2017
ALABAMA,1,101770,Houston County,10177000611,Ashford High Sch,85,7/1/2017
ALABAMA,1,101770,Houston County,10177000612,Cottonwood High Sch,90,7/1/2017
ALABAMA,1,101770,Houston County,10177000614,Houston Co High Sch,80,7/1/2017
ALABAMA,1,101770,Houston County,10177000615,Rehobeth High Sch,90,7/1/2017
ALABAMA,1,101770,Houston County,10177000617,Wicksburg High Sch,90,7/1/2017
ALABAMA,1,101800,Huntsville City,10180000629,Virgil Grissom High Sch,87,7/1/2017
ALABAMA,1,101800,Huntsville City,10180000631,Huntsville High Sch,91,7/1/2017
ALABAMA,1,101800,Huntsville City,10180000636,Lee High Sch,84,7/1/2017
ALABAMA,1,101800,Huntsville City,10180001374,New Century Tech Demo High Sch,95,7/1/2017
ALABAMA,1,101800,Huntsville City,10180001651,Columbia High School,86,7/1/2017
ALABAMA,1,101830,Jackson County,10183000662,North Sand Mt Sch,90,7/1/2017
ALABAMA,1,101830,Jackson County,10183000663,Paint Rock Valley High Sch,50,7/1/2017
ALABAMA,1,101830,Jackson County,10183000667,Section High Sch,90,7/1/2017
ALABAMA,1,101830,Jackson County,10183000668,Skyline High Sch,90,7/1/2017
ALABAMA,1,101830,Jackson County,10183000671,Woodville High Sch,90,7/1/2017
ALABAMA,1,101830,Jackson County,10183001532,Pisgah High Sch,90,7/1/2017
ALABAMA,1,101830,Jackson County,10183001751,North Jackson High Sch,75,7/1/2017
ALABAMA,1,101860,Jacksonville City,10186000673,Jacksonville High Sch,90,7/1/2017
ALABAMA,1,101890,Jasper City,10189000678,Walker High Sch,91,7/1/2017
ALABAMA,1,101920,Jefferson County,10192000469,Clay-Chalkville High Sch,87,7/1/2017
ALABAMA,1,101920,Jefferson County,10192000698,Corner High Sch,90,7/1/2017
ALABAMA,1,101920,Jefferson County,10192000702,Erwin High Sch,84,7/1/2017
ALABAMA,1,101920,Jefferson County,10192000704,Fultondale High Sch,80,7/1/2017
ALABAMA,1,101920,Jefferson County,10192000706,Gardendale High Sch,88,7/1/2017
ALABAMA,1,101920,Jefferson County,10192000717,Hueytown High Sch,85,7/1/2017
ALABAMA,1,101920,Jefferson County,10192000725,McAdory High Sch,88,7/1/2017
ALABAMA,1,101920,Jefferson County,10192000728,Mortimer Jordan High Sch,88,7/1/2017
ALABAMA,1,101920,Jefferson County,10192000732,Oak Grove High Sch,85,7/1/2017
ALABAMA,1,101920,Jefferson County,10192000734,Pinson Valley High Sch,88,7/1/2017
ALABAMA,1,101920,Jefferson County,10192000737,Pleasant Grove High Sch,90,7/1/2017
ALABAMA,1,101920,Jefferson County,10192000744,Shades Valley High Sch,94,7/1/2017
ALABAMA,1,101920,Jefferson County,10192001680,William E Burkett Multi-Handicapped Ctr,50,7/1/2017
ALABAMA,1,101920,Jefferson County,10192001752,Minor High Sch,85,7/1/2017
ALABAMA,1,101950,Lamar County,10195000756,Sulligent Sch,80,7/1/2017
ALABAMA,1,101950,Lamar County,10195001511,Lamar Co High-Intermediate,85,7/1/2017
ALABAMA,1,101950,Lamar County,10195001720,South Lamar Sch,80,7/1/2017
ALABAMA,1,101980,Lanett City,10198000759,Lanett Senior High Sch,70,7/1/2017
ALABAMA,1,102010,Lauderdale County,10201000764,Brooks High Sch,90,7/1/2017
ALABAMA,1,102010,Lauderdale County,10201000765,Central High Sch,90,7/1/2017
ALABAMA,1,102010,Lauderdale County,10201000767,Lauderdale Co High Sch,90,7/1/2017
ALABAMA,1,102010,Lauderdale County,10201000770,Lexington Sch,95,7/1/2017
ALABAMA,1,102010,Lauderdale County,10201000772,Rogers High Sch,95,7/1/2017
ALABAMA,1,102010,Lauderdale County,10201000774,Waterloo High Sch,60,7/1/2017
ALABAMA,1,102010,Lauderdale County,10201000775,Wilson High Sch,85,7/1/2017
ALABAMA,1,102040,Lawrence County,10204000776,R A Hubbard High Sch,60,7/1/2017
ALABAMA,1,102040,Lawrence County,10204000780,Hatton High Sch,90,7/1/2017
ALABAMA,1,102040,Lawrence County,10204000783,Lawrence Co High Sch,85,7/1/2017
ALABAMA,1,102040,Lawrence County,10204001546,East Lawrence High Sch,90,7/1/2017
ALABAMA,1,102040,Lawrence County,10204002211,Lawrence County Developmental,87,7/1/2017
ALABAMA,1,102070,Lee County,10207000790,Beauregard High Sch,76,7/1/2017
ALABAMA,1,102070,Lee County,10207000791,Beulah High Sch,85,7/1/2017
ALABAMA,1,102070,Lee County,10207000792,Loachapoka High Sch,80,7/1/2017
ALABAMA,1,102070,Lee County,10207000795,Smiths Station High Sch,88,7/1/2017
ALABAMA,1,102070,Lee County,10207002197,Smith Station Freshman Ctr,50,7/1/2017
ALABAMA,1,102100,Limestone County,10210000797,Ardmore High Sch,90,7/1/2017
ALABAMA,1,102100,Limestone County,10210000799,Clements High Sch,85,7/1/2017
ALABAMA,1,102100,Limestone County,10210000800,East Limestone High Sch,90,7/1/2017
ALABAMA,1,102100,Limestone County,10210000808,Tanner High Sch,85,7/1/2017
ALABAMA,1,102100,Limestone County,10210000810,West Limestone High Sch,90,7/1/2017
ALABAMA,1,102100,Limestone County,10210001549,Elkmont High Sch,80,7/1/2017
ALABAMA,1,102130,Linden City,10213000813,Linden High Sch,80,7/1/2017
ALABAMA,1,102160,Lowndes County,10216000815,Calhoun High Sch,85,7/1/2017
ALABAMA,1,102160,Lowndes County,10216000817,Central High Sch,80,7/1/2017
ALABAMA,1,102190,Macon County,10219000824,Notasulga High Sch,90,7/1/2017
ALABAMA,1,102190,Macon County,10219001811,Booker T Washington High,80,7/1/2017
ALABAMA,1,102220,Madison County,10222000556,Madison Co High Sch,85,7/1/2017
ALABAMA,1,102220,Madison County,10222000836,Hazel Green High Sch,92,7/1/2017
ALABAMA,1,102220,Madison County,10222000843,New Hope High Sch,85,7/1/2017
ALABAMA,1,102220,Madison County,10222000848,Sparkman High Sch,88,7/1/2017
ALABAMA,1,102220,Madison County,10222001683,Buckhorn High Sch,92,7/1/2017
ALABAMA,1,102220,Madison County,10222001821,Sparkman Ninth Grade Sch,87,7/1/2017
ALABAMA,1,102250,Marengo County,10225000852,Amelia L. Johnson High Sch,80,7/1/2017
ALABAMA,1,102250,Marengo County,10225000856,Marengo High Sch,50,7/1/2017
ALABAMA,1,102250,Marengo County,10225000857,Sweet Water High Sch,90,7/1/2017
ALABAMA,1,102310,Marion County,10231000862,Brilliant High Sch,80,7/1/2017
ALABAMA,1,102310,Marion County,10231000863,Marion Co High Sch,80,7/1/2017
ALABAMA,1,102310,Marion County,10231000866,Hackleburg Sch,80,7/1/2017
ALABAMA,1,102310,Marion County,10231000868,Hamilton High Sch,85,7/1/2017
ALABAMA,1,102310,Marion County,10231000869,Phillips High Sch,70,7/1/2017
ALABAMA,1,102310,Marion County,10231000985,Marion Co Alt Sch,87,7/1/2017
ALABAMA,1,102350,Midfield City,10235000891,Midfield High Sch,85,7/1/2017
ALABAMA,1,102370,Mobile County,10237000898,Ben C Rain High Sch,87,7/1/2017
ALABAMA,1,102370,Mobile County,10237000899,Baker High Sch,93,7/1/2017
ALABAMA,1,102370,Mobile County,10237000900,Mattie T Blount High Sch,79,7/1/2017
ALABAMA,1,102370,Mobile County,10237000906,Citronelle High Sch,85,7/1/2017
ALABAMA,1,102370,Mobile County,10237000912,WP Davidson High Sch,83,7/1/2017
ALABAMA,1,102370,Mobile County,10237000934,Mary G Montgomery High Sch,78,7/1/2017
ALABAMA,1,102370,Mobile County,10237000942,Murphy High Sch,86,7/1/2017
ALABAMA,1,102370,Mobile County,10237000962,John L Leflore Preparatory Acad,82,7/1/2017
ALABAMA,1,102370,Mobile County,10237000964,CF Vigor High Sch,78,7/1/2017
ALABAMA,1,102370,Mobile County,10237000969,Lillie B Williamson High Sch,80,7/1/2017
ALABAMA,1,102370,Mobile County,10237000989,Alma Bryant High Sch,82,7/1/2017
ALABAMA,1,102370,Mobile County,10237001038,Mobile Co Alt Sch,87,7/1/2017
ALABAMA,1,102370,Mobile County,10237001605,Mobile Mental Health Ctr,87,7/1/2017
ALABAMA,1,102370,Mobile County,10237001618,Augusta Evans Sch,LE20,7/1/2017
ALABAMA,1,102370,Mobile County,10237001686,Continuous Learning Ctr,87,7/1/2017
ALABAMA,1,102370,Mobile County,10237001688,Theodore High Sch,77,7/1/2017
ALABAMA,1,102370,Mobile County,10237002177,Evening Educational Options,40,7/1/2017
ALABAMA,1,102400,Monroe County,10240000973,Monroe Co High Sch,80,7/1/2017
ALABAMA,1,102400,Monroe County,10240000975,Excel High Sch,85,7/1/2017
ALABAMA,1,102400,Monroe County,10240000979,J F Shields High Sch,50,7/1/2017
ALABAMA,1,102400,Monroe County,10240000980,J U Blacksher Sch,80,7/1/2017
ALABAMA,1,102430,Montgomery County,10243000504,Booker T Washington Magnet High Sch,95,7/1/2017
ALABAMA,1,102430,Montgomery County,10243001015,Carver Senior High Sch,76,7/1/2017
ALABAMA,1,102430,Montgomery County,10243001024,Jefferson Davis High Sch,73,7/1/2017
ALABAMA,1,102430,Montgomery County,10243001035,Lee High Sch,66,7/1/2017
ALABAMA,1,102430,Montgomery County,10243001036,Lanier Senior High Sch,77,7/1/2017
ALABAMA,1,102430,Montgomery County,10243001417,Loveless Academic Magnet Prog High Sch,95,7/1/2017
ALABAMA,1,102430,Montgomery County,10243001457,Brewbaker Tech Magnet High Sch,95,7/1/2017
ALABAMA,1,102430,Montgomery County,10243001691,Childrens Ctr,50,7/1/2017
ALABAMA,1,102430,Montgomery County,10243002157,Paterson Acad of Creative Ed,LE20,7/1/2017
ALABAMA,1,102430,Montgomery County,10243002214,Park Crossing High School,86,7/1/2017
ALABAMA,1,102480,Morgan County,10248001042,Danville High Sch,90,7/1/2017
ALABAMA,1,102480,Morgan County,10248001044,Falkville High Sch,85,7/1/2017
ALABAMA,1,102480,Morgan County,10248001048,Priceville High Sch,90,7/1/2017
ALABAMA,1,102480,Morgan County,10248001052,West Morgan High Sch,90,7/1/2017
ALABAMA,1,102480,Morgan County,10248001696,Albert P Brewer High Sch,91,7/1/2017
ALABAMA,1,102490,Mountain Brook City,10249001056,Mt Brook High Sch,98,7/1/2017
ALABAMA,1,102520,Muscle Shoals City,10252001062,Muscle Shoals High Sch,97,7/1/2017
ALABAMA,1,102550,Oneonta City,10255001064,Oneonta High Sch,95,7/1/2017
ALABAMA,1,102580,Opelika City,10258001070,Opelika High Sch,89,7/1/2017
ALABAMA,1,102610,Opp City,10261001073,Opp High Sch,90,7/1/2017
ALABAMA,1,102635,Oxford City,10263501075,Oxford High Sch,96,7/1/2017
ALABAMA,1,102640,Ozark City,10264001080,Carroll High Sch,85,7/1/2017
ALABAMA,1,102650,Pell City,10265001573,Pell City High Sch,88,7/1/2017
ALABAMA,1,102670,Perry County,10267001577,Robert C Hatch High Sch,95,7/1/2017
ALABAMA,1,102670,Perry County,10267001734,Albert Turner Sr Elem Sch,90,7/1/2017
ALABAMA,1,102700,Phenix City,10270001088,Central High Sch,86,7/1/2017
ALABAMA,1,102700,Phenix City,10270002140,Central Freshman Acad,50,7/1/2017
ALABAMA,1,102730,Pickens County,10273001098,Aliceville High Sch,90,7/1/2017
ALABAMA,1,102730,Pickens County,10273001102,Pickens Co High Sch,80,7/1/2017
ALABAMA,1,102730,Pickens County,10273001104,Gordo High Sch,90,7/1/2017
ALABAMA,1,102760,Piedmont City,10276001108,Piedmont High Sch,95,7/1/2017
ALABAMA,1,102790,Pike County,10279001112,Pike Co High Sch,85,7/1/2017
ALABAMA,1,102790,Pike County,10279001114,Goshen High Sch,80,7/1/2017
ALABAMA,1,102820,Randolph County,10282001119,Randolph Co High Sch,85,7/1/2017
ALABAMA,1,102820,Randolph County,10282001123,Wadley High Sch,80,7/1/2017
ALABAMA,1,102820,Randolph County,10282001125,Woodland High Sch,85,7/1/2017
ALABAMA,1,102850,Roanoke City,10285001126,Handley High Sch,95,7/1/2017
ALABAMA,1,102880,Russell County,10288001802,Russell Co High Sch,74,7/1/2017
ALABAMA,1,102910,Russellville City,10291001142,Russellville High Sch,90,7/1/2017
ALABAMA,1,102940,Scottsboro City,10294001147,Scottsboro High Sch,85,7/1/2017
ALABAMA,1,102970,Selma City,10297001160,Selma High Sch,82,7/1/2017
